video;elapsedTime;time;fps
video1;499.46;8:19.4760000706;8.52
video2;562.71;9:22.7290000916;8.77
video3;605.00;10:5.01200008392;8.39
video4;503.01;8:23.0069999695;8.71
video5;653.43;10:53.4470000267;8.34
video6;453.13;7:33.1309998035;8.74
video7;316.11;5:16.125;10.70
video8;400.02;6:40.0360000134;9.06
video9;276.32;4:36.3289999962;9.92
video10;338.65;5:38.6600000858;9.29
video11;536.19;8:56.2009999752;9.08
video12;376.39;6:16.3970000744;9.80
video13;306.90;5:6.90899991989;10.04
video14;353.22;5:53.2279999256;10.12
video15;434.76;7:14.7730000019;8.80
video16;481.52;8:1.53600001335;8.76
video18;460.88;7:40.8890001774;9.07
video19;495.33;8:15.3459999561;9.08
video20;503.95;8:23.9639999866;8.98
video21;308.89;5:8.90499997139;10.43
video22;311.69;5:11.6999998093;10.53
video23;362.34;6:2.35299992561;10.24
video25;496.37;8:16.370000124;8.69
video26;482.75;8:2.757999897;8.45
video27;467.88;7:47.881000042;8.34
video28;539.26;8:59.2750000954;8.14
video29;643.17;10:43.1849999428;8.43
video30;638.28;10:38.2909998894;8.34
video31;618.31;10:18.3170001507;8.61
video32;433.15;7:13.1619999409;9.06
video33;434.49;7:14.4990000725;9.15
video34;573.08;9:33.0940001011;9.15
video35;383.51;6:23.5120000839;9.19
video36;411.70;6:51.7139999866;9.11
video38;403.29;6:43.2969999313;9.12
video39;572.43;9:32.4379999638;8.72
video40;428.18;7:8.1819999218;8.92
video41;371.62;6:11.6319999695;8.98
video42;341.80;5:41.8170001507;9.33
video43;355.73;5:55.7419998646;9.05
video44;430.07;7:10.0910000801;9.07
video45;390.55;6:30.5590000153;8.99
video46;519.22;8:39.2300000191;9.00
video47;349.15;5:49.1599998474;9.13
video48;333.55;5:33.5460000038;9.34
video49;355.49;5:55.5;8.97
video50;354.07;5:54.0859999657;9.02
video51;363.94;6:3.95499992371;9.02
video52;439.68;7:19.6890001297;9.17
video53;379.60;6:19.611000061;8.82
video54;339.30;5:39.3130002022;8.88
video55;383.15;6:23.1590001583;8.98
video56;443.48;7:23.4960000515;9.05
video57;420.93;7:0.9390001297;9.52
video58;421.65;7:1.65300011635;9.36
video59;426.20;7:6.20500016212;8.94
video60;348.11;5:48.1130001545;9.09
video61;399.36;6:39.371999979;9.24
